title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
USDA Approved Fetal Bovine Serum,,,Animal Sera,,$225.00,,,1.5lb,,,,FB-01,,,,
USDA Approved Fetal Bovine Heat Inactivated,,,Animal Sera,,$225.00,,,1.5lb,,,,FB-02,,,,
Dialyzed Fetal Bovine Serum,,,Animal Sera,,$325.00,,,1.5lb,,,,FB-03,,,,
Charcoal/Dextran Treated Fetal Bovine Serum,,,Animal Sera,,$325.00,,,1.5lb,,,,FB-04,,,,
ES Cell Tested Fetal Bovine Serum,,,Animal Sera,,$295.00,,,1.5lb,,,,FB-05,,,,
Low IgG Fetal Bovine Serum,,,Animal Sera,,$325.00,,,1.5lb,,,,FB-06,,,,
Gamma Irradiated Fetal Bovine Serum,,,Animal Sera,,$350.00,,,1.5lb,,,,FB-09,,,,
US Source Fetal Bovine Serum,,,Animal Sera,,$255.00,,,1.5lb,,,,FB-11,,,,
"US Source Fetal Bovine Serum, Heat Inactivated",,,Animal Sera,,$255.00,,,1.5lb,,,,FB-12,,,,
Tet-Free Fetal Bovine Serum,,,Animal Sera,,$325.00,,,1.5lb,,,,FB-15,,,,
Newborn Calf Serum,,,Animal Sera,,$50.00,,,1.5lb,,,,NC-03,,,,
Bovine Calf Serum,,,Animal Sera,,$40.00,,,1.5lb,,,,BC-04,,,,
Iron Supplemented Calf Serum,,,Animal Sera,,$45.00,,,1.5lb,,,,IS-06,,,,
Donor Horse Serum,,,Animal Sera,,$42.00,,,1.5lb,,,,DH-05,,,,
"Donor Horse Serum, Heat Inactivated",,,Animal Sera,,$42.00,,,1.5lb,,,,DH-07,,,,
Mouse Serum,,,Animal Sera,,$250.00,,,0.2lbs,,,,MS-07,,,,
Goat Serum,,,Animal Sera,,$25.00,,,0.2lbs,,,,NG-11,,,,
Human AB Serum,,,Human Sera Products,,$135.00,,,0.2lbs,,,,HS-20,,,,
Human Serum,,,Human Sera Products,,$125.00,,,0.2lbs,,,,HS-30,,,,
Human Albumin 5% Solution,,,Human Sera Products,,CALL for PRICE,,,0.10lbs,,,,AB-05,,,,
Human Albumin 20% Solution,,,Human Sera Products,,CALL for PRICE,,,0.10lbs,,,,AB-20,,,,
Human Albumin 25% Solution,,,Human Sera Products,,CALL for PRICE,,,0.10lbs,,,,AB-25,,,,
Puromycin Dihydrochloride,,,Plant Cell Culture,,$95.00,,,0.00022lbs,,,,PR-01,,,,
Ampicillin Disodium Salt,,,Plant Cell Culture,,$67.00,,,0.057lbs,,,,AP-25,,,,
Bacitracin,,,Plant Cell Culture,,$35.00,,,0.013lbs,,,,BT-05,,,,
Kanamycin Sulfate,,,Plant Cell Culture,,$25.00,,,0.013lbs,,,,KN-05,,,,
Bleomycin Sulfate,,,Plant Cell Culture,,$315.00,,,0lbs,,,,BM-15,,,,
Chloramphenicol,,,Plant Cell Culture,,$25.00,,,0.057lbs,,,,CM-25,,,,
Doxycycline HCL,,,Plant Cell Culture,,$135.00,,,0.057lbs,,,,DX-25,,,,
IPTG,,,Plant Cell Culture,,$45.00,,,0.013lbs,,,,IP-05,,,,
Hygromycin B,,,Plant Cell Culture,,$69.00,,,0.004lbs,,,,HG-01,,,,
MTT (Thiazolyl Blue),,,Plant Cell Culture,,$140.00,,,0.013lbs,,,,MT-05,,,,
Nystatin,,,Plant Cell Culture,,$25.00,,,0.013lbs,,,,NS-05,,,,
Polymixin,,,Plant Cell Culture,,$40.00,,,0.004lbs,,,,PM-01,,,,
Rifampicin,,,Plant Cell Culture,,$30.00,,,0.004lbs,,,,RF-01,,,,
Ticarcillin Disodium Salt,,,Plant Cell Culture,,$20.00,,,0.004lbs,,,,TC-01,,,,
